asdf_id,map_pf_incidence_rate.2020.mean,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2017.mean,gpm_precipitation_v07b_yearly_mean.2020.mean,gpm_precipitation_v07b_yearly_mean.2019.mean,gpm_precipitation_v07b_yearly_mean.2018.mean,gpm_precipitation_v07b_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2017.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,0.33643510937690735,0.3054327368736267,0.2756383717060089,0.23300042748451233,124.753915417,129.033419265,126.351774221,123.971844054,17.8500003815,18.075000445,17.8416671753,18.3583334287,ADM2,0,0,BDI,BDI-ADM2-21766830B92335244,Ryansoro,ADM2
1,0.34320356659419,0.31283462321021144,0.28716064509288586,0.23413206600244577,116.933945483,131.494313323,133.247274007,112.164828047,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,1,1,BDI,BDI-ADM2-21766830B39191112,Ndava,ADM2
2,0.24577633097639623,0.214866904428705,0.19530121886394528,0.14634766186523349,131.633417066,140.943462069,135.727514333,133.159269984,18.8395837148,19.052083691,18.8312505086,19.3583335876,ADM2,2,2,BDI,BDI-ADM2-21766830B5235388,Buyengero,ADM2
3,0.19605583655128112,0.17397592624057756,0.17468763613373098,0.1475642112561491,135.94343616,139.234229218,141.248330134,121.879353972,21.8083337148,21.9833334287,21.8000005086,22.3583340645,ADM2,3,3,BDI,BDI-ADM2-21766830B26185073,Bugarama,ADM2
4,0.2519241789696211,0.22133604553535477,0.21227312612723873,0.16938054013444434,137.631911168,141.681206133,138.465166785,134.759273393,21.6680852041,21.8628328089,21.6572836955,22.2112959888,ADM2,4,4,BDI,BDI-ADM2-21766830B85878109,Rumonge,ADM2
5,0.22000213574392405,0.1931742310560233,0.18683166568144155,0.15001634450391163,131.959779529,141.039987861,138.291996997,129.645695596,20.8769611556,21.0637256578,20.8686279494,21.417157434,ADM2,5,5,BDI,BDI-ADM2-21766830B65582209,Burambi,ADM2
6,0.21114228780738598,0.19188439209038072,0.1752077398485813,0.1353897422033625,124.14442813,138.522123362,138.388864893,116.899991362,22.2500004768,22.441666762,22.2500004768,22.7666672071,ADM2,6,6,BDI,BDI-ADM2-21766830B26395123,Kanyosha1,ADM2
7,0.20298398398381784,0.18303846742331986,0.1751066081439471,0.14144159535465653,127.987824655,138.512243756,139.865817183,112.243917232,21.9345723303,22.1143357373,21.928620948,22.4750451576,ADM2,7,7,BDI,BDI-ADM2-21766830B92311938,Kabezi,ADM2
8,0.19775016585025584,0.17664675600174076,0.16915628632442178,0.13546779548031704,135.580665128,142.301447614,141.867542911,120.102836778,21.8083337148,21.9833334287,21.8000005086,22.3583340645,ADM2,8,8,BDI,BDI-ADM2-21766830B4178858,Muhuta,ADM2
9,0.19211576879024503,0.17197427153587344,0.15703444182872772,0.11747315526008606,123.824518589,142.967453823,138.857088711,123.181720778,19.5275095575,19.7281497553,19.5166110808,20.045454047,ADM2,9,9,BDI,BDI-ADM2-21766830B74515743,Mukike,ADM2
