asdf_id,map_pf_incidence_rate.2020.mean,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2017.mean,gpm_precipitation_v07b_yearly_mean.2020.mean,gpm_precipitation_v07b_yearly_mean.2019.mean,gpm_precipitation_v07b_yearly_mean.2018.mean,gpm_precipitation_v07b_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2017.mean,Level,gqid,shapeGroup,shapeID,shapeName,shapeType
0,0.098829313683,0.0677375062076,0.0933380921568,0.0811227875999,95.7866620767,87.1659179296,88.5678984414,83.7521622045,30.4208527723,29.8667146605,30.0403475853,30.3493793081,ADM2,0,SEN,SEN-ADM2-92650715B27276283,Bakel,ADM2
1,0.113681945836,0.0746893078156,0.0931243139479,0.0679869485223,77.7070789382,50.0008208577,48.4994512276,59.0056392938,28.5372139341,27.6608874197,27.4966049269,28.2344324344,ADM2,1,SEN,SEN-ADM2-92650715B64906891,Bambey,ADM2
2,0.109566187382,0.0889324854977,0.124887919364,0.097476536303,182.020487427,106.316867529,110.205928418,128.314555102,28.1416236221,27.3036800395,27.1999483462,27.8796061164,ADM2,2,SEN,SEN-ADM2-92650715B3747200,Bignona,ADM2
3,0.111766892538,0.078604170025,0.101287803735,0.0712569980315,103.320686333,73.7762964543,68.263855732,76.6598903408,29.7452380049,28.8934101856,28.8013300515,29.4773094053,ADM2,3,SEN,SEN-ADM2-92650715B79504758,Birkelane,ADM2
4,0.108232179444,0.0746216978336,0.0970926341183,0.0713782420764,142.601031973,97.1667708801,93.065882433,111.053056971,28.9358811205,28.1092507703,28.0597725924,28.7005264371,ADM2,4,SEN,SEN-ADM2-92650715B2973786,Bounkiling,ADM2
5,0.112414246942,0.084742628042,0.112946886166,0.0845863822993,45.1967744256,25.7209954293,32.0549752667,26.0090981213,28.1088386468,27.2776430123,27.0764626029,27.8581742855,ADM2,5,SEN,SEN-ADM2-92650715B26445972,Dagana,ADM2
6,0.105530528843,0.100413120169,0.151414665909,0.131519659816,60.5377403005,59.3217094703,36.9304701231,40.2452233201,27.0883337657,26.2200002352,26.0200004896,26.8016668955,ADM2,6,SEN,SEN-ADM2-92650715B76423434,Dakar,ADM2
7,0.119590161558,0.078724670074,0.0991080661075,0.072776223997,83.7756654921,50.0309349765,49.0495577269,61.244425403,29.1132810567,28.2471036627,28.0799480637,28.8059259779,ADM2,7,SEN,SEN-ADM2-92650715B3933426,Diourbel,ADM2
8,0.095378641971,0.0678311675885,0.0902146747173,0.0671078094705,101.391993302,68.3847186476,62.0185782621,69.8928992514,28.7286053988,27.851354633,27.7068573157,28.4284127548,ADM2,8,SEN,SEN-ADM2-92650715B42015096,Fatick,ADM2
9,0.0907946571197,0.0780268618646,0.109795854849,0.0817772797934,123.240570281,82.8653361551,76.3672532304,82.2151927928,28.6136333333,27.7494259094,27.6428191556,28.3380303932,ADM2,9,SEN,SEN-ADM2-92650715B10946326,Foundiougne,ADM2
10,0.111262694581,0.0748141294145,0.0942987691,0.0668263940173,93.3239841396,58.4260719934,55.8872796151,62.9236105271,29.7067598525,28.8407662407,28.7178085104,29.4265778513,ADM2,10,SEN,SEN-ADM2-92650715B87275655,Gossas,ADM2
11,0.110208755276,0.0806660813521,0.114204036006,0.0951178226192,94.1997772007,79.5184549868,90.8873077063,86.3703839176,30.3127008161,29.6710366522,29.812454197,30.1556022512,ADM2,11,SEN,SEN-ADM2-92650715B82266627,Goudiry,ADM2
12,0.101122681857,0.0639840612314,0.0858587796817,0.06951234427,179.579896939,119.277379371,117.489698553,133.898822598,28.7068537559,27.8804680833,27.8485206709,28.455465469,ADM2,12,SEN,SEN-ADM2-92650715B11855576,Goudomp,ADM2
